Timestamp,Age,"Q1. How often do you engage in reading (books, newspapers, articles, etc.)?  ","Q2. How often do you watch TV, movies, or online series/serial?  ",Q3. Which form of entertainment do you prefer the most?  ,Q4. How much time per day do you usually spend on entertainment (any form)?  ,Q5. Do you prefer short-form or long-form entertainment the most?,Q6. Which type of reading material do you prefer most?,Q7. What is your main purpose for entertainment?,"Q8. Has entertainment (reading, watching, or listening) ever inspired you to make a change in your life?"
8/28/2025 20:29:23,26-35,Daily,Occasionally,Reading,1-3 hours,Books/long reads/stories (several hours),Fiction books,Relaxation / stress relief,Sometimes
8/28/2025 20:31:37,50+,Weekly,Daily,Enjoy both equally,1-3 hours,TV episodes (20–40 mins),Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 20:32:04,26-35,Occasionally,Daily,Enjoy both equally,More than 5 hours,"Short videos (Reels,  YouTube Shorts)",Fiction books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 20:32:08,36-50,Occasionally,Weekly,Watching,1-3 hours,TV episodes (20–40 mins),Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 20:32:31,36-50,Occasionally,Occasionally,Watching,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Non-fiction / educational books,Relaxation / stress relief,Sometimes
8/28/2025 20:32:35,50+,Occasionally,Occasionally,Watching,Less than 1 hour,Full-length movies (2–3 hrs),Magazines or blogs,Passing time / boredom,"Yes, many times"
8/28/2025 20:33:52,36-50,Occasionally,Daily,Enjoy both equally,1-3 hours,TV episodes (20–40 mins),Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 20:35:44,26-35,Daily,Daily,Watching,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Non-fiction / educational books,Relaxation / stress relief,"Yes, many times"
8/28/2025 20:35:48,50+,Daily,Never,None,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",Non-fiction / educational books,I don’t engage much,Rarely
8/28/2025 20:37:26,18-25,Occasionally,Weekly,Enjoy both equally,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Fiction books,Passing time / boredom,"Yes, many times"
8/28/2025 20:38:26,50+,Occasionally,Weekly,Enjoy both equally,1-3 hours,Full-length movies (2–3 hrs),Fiction books,Learning / gaining knowledge,Sometimes
8/28/2025 20:39:12,26-35,Occasionally,Occasionally,Watching,1-3 hours,TV episodes (20–40 mins),Magazines or blogs,Relaxation / stress relief,"Yes, many times"
8/28/2025 20:39:46,36-50,Daily,Weekly,Enjoy both equally,1-3 hours,Books/long reads/stories (several hours),Magazines or blogs,Learning / gaining knowledge,"Yes, many times"
8/28/2025 20:40:11,36-50,Daily,Weekly,Enjoy both equally,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",Magazines or blogs,Relaxation / stress relief,Rarely
8/28/2025 20:41:03,18-25,Daily,Daily,Watching,More than 5 hours,Full-length movies (2–3 hrs),Non-fiction / educational books,Relaxation / stress relief,"Yes, many times"
8/28/2025 20:44:35,Below 18,Never,Occasionally,Watching,3-5 hours,"Short videos (Reels,  YouTube Shorts)",I don’t read at all,Relaxation / stress relief,Sometimes
8/28/2025 20:50:17,36-50,Occasionally,Occasionally,Enjoy both equally,Less than 1 hour,TV episodes (20–40 mins),Non-fiction / educational books,Relaxation / stress relief,Sometimes
8/28/2025 20:51:00,18-25,Occasionally,Occasionally,Watching,1-3 hours,Full-length movies (2–3 hrs),Magazines or blogs,Relaxation / stress relief,"Yes, many times"
8/28/2025 20:52:44,18-25,Occasionally,Weekly,Watching,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",I don’t read at all,Passing time / boredom,Sometimes
8/28/2025 20:53:24,36-50,Weekly,Daily,Enjoy both equally,Less than 1 hour,Books/long reads/stories (several hours),Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 20:56:59,26-35,Weekly,Weekly,Watching,3-5 hours,Full-length movies (2–3 hrs),Magazines or blogs,Relaxation / stress relief,Sometimes
8/28/2025 20:56:59,Below 18,Weekly,Occasionally,Enjoy both equally,3-5 hours,"Short videos (Reels,  YouTube Shorts)",Fiction books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 21:01:25,26-35,Occasionally,Daily,Watching,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Magazines or blogs,Learning / gaining knowledge,"Yes, many times"
8/28/2025 21:03:20,36-50,Daily,Daily,Enjoy both equally,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Magazines or blogs,Passing time / boredom,Rarely
8/28/2025 21:12:44,18-25,Never,Occasionally,Enjoy both equally,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",Fiction books,Learning / gaining knowledge,Sometimes
8/28/2025 21:17:28,36-50,Daily,Occasionally,Enjoy both equally,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Non-fiction / educational books,Learning / gaining knowledge,Sometimes
8/28/2025 21:19:55,50+,Daily,Daily,Watching,1-3 hours,TV episodes (20–40 mins),Magazines or blogs,Relaxation / stress relief,Sometimes
8/28/2025 21:21:51,Below 18,Daily,Daily,Watching,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 21:22:27,18-25,Occasionally,Daily,Enjoy both equally,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Fiction books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 21:28:29,18-25,Weekly,Occasionally,Enjoy both equally,3-5 hours,TV episodes (20–40 mins),Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 21:34:07,26-35,Daily,Weekly,Enjoy both equally,Less than 1 hour,Books/long reads/stories (several hours),Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 21:34:12,36-50,Daily,Never,Reading,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 21:39:28,18-25,Occasionally,Occasionally,Watching,3-5 hours,Full-length movies (2–3 hrs),Fiction books,Learning / gaining knowledge,Sometimes
8/28/2025 21:40:09,36-50,Daily,Daily,Enjoy both equally,1-3 hours,Books/long reads/stories (several hours),Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 21:40:43,18-25,Weekly,Occasionally,Enjoy both equally,1-3 hours,Full-length movies (2–3 hrs),Magazines or blogs,Learning / gaining knowledge,Rarely
8/28/2025 21:42:39,18-25,Weekly,Daily,Enjoy both equally,1-3 hours,Full-length movies (2–3 hrs),Magazines or blogs,Relaxation / stress relief,Sometimes
8/28/2025 21:45:19,Below 18,Never,Daily,Watching,1-3 hours,TV episodes (20–40 mins),I don’t read at all,Relaxation / stress relief,Rarely
8/28/2025 21:46:28,36-50,Never,Occasionally,Watching,1-3 hours,TV episodes (20–40 mins),I don’t read at all,Passing time / boredom,Never
8/28/2025 21:47:45,26-35,Daily,Daily,Enjoy both equally,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 21:48:30,50+,Occasionally,Weekly,Watching,Less than 1 hour,TV episodes (20–40 mins),Non-fiction / educational books,Passing time / boredom,Rarely
8/28/2025 21:48:55,36-50,Weekly,Weekly,Enjoy both equally,Less than 1 hour,Full-length movies (2–3 hrs),Non-fiction / educational books,Relaxation / stress relief,Sometimes
8/28/2025 21:53:42,26-35,Daily,Weekly,Enjoy both equally,1-3 hours,Books/long reads/stories (several hours),Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 21:54:50,36-50,Occasionally,Weekly,Enjoy both equally,1-3 hours,TV episodes (20–40 mins),I don’t read at all,Learning / gaining knowledge,Sometimes
8/28/2025 22:05:22,18-25,Weekly,Weekly,Enjoy both equally,Less than 1 hour,Books/long reads/stories (several hours),Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 22:06:48,18-25,Daily,Occasionally,Watching,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",Magazines or blogs,Learning / gaining knowledge,"Yes, many times"
8/28/2025 22:09:09,18-25,Occasionally,Daily,Watching,1-3 hours,TV episodes (20–40 mins),Fiction books,Passing time / boredom,Sometimes
8/28/2025 22:09:32,36-50,Weekly,Occasionally,Enjoy both equally,Less than 1 hour,Full-length movies (2–3 hrs),Non-fiction / educational books,Relaxation / stress relief,Sometimes
8/28/2025 22:12:56,18-25,Weekly,Daily,Watching,More than 5 hours,"Short videos (Reels,  YouTube Shorts)",I don’t read at all,Passing time / boredom,Sometimes
8/28/2025 22:15:52,18-25,Weekly,Occasionally,Enjoy both equally,3-5 hours,TV episodes (20–40 mins),Non-fiction / educational books,Passing time / boredom,"Yes, many times"
8/28/2025 22:30:52,18-25,Weekly,Daily,Enjoy both equally,3-5 hours,TV episodes (20–40 mins),Non-fiction / educational books,Passing time / boredom,Sometimes
8/28/2025 22:35:31,18-25,Occasionally,Weekly,Watching,Less than 1 hour,TV episodes (20–40 mins),Fiction books,Passing time / boredom,Sometimes
8/28/2025 22:38:56,36-50,Daily,Daily,Enjoy both equally,Less than 1 hour,Books/long reads/stories (several hours),Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 22:41:45,18-25,Weekly,Occasionally,Enjoy both equally,1-3 hours,TV episodes (20–40 mins),Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 22:45:40,26-35,Occasionally,Weekly,Watching,1-3 hours,"Short videos (Reels,  YouTube Shorts)",I don’t read at all,Relaxation / stress relief,"Yes, many times"
8/28/2025 22:59:04,50+,Weekly,Occasionally,Enjoy both equally,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",Non-fiction / educational books,Relaxation / stress relief,"Yes, many times"
8/28/2025 23:02:18,18-25,Occasionally,Weekly,Watching,1-3 hours,Full-length movies (2–3 hrs),Magazines or blogs,Relaxation / stress relief,Sometimes
8/28/2025 23:03:33,18-25,Weekly,Weekly,Enjoy both equally,1-3 hours,TV episodes (20–40 mins),Fiction books,Relaxation / stress relief,"Yes, many times"
8/28/2025 23:04:21,18-25,Never,Daily,Watching,1-3 hours,TV episodes (20–40 mins),I don’t read at all,Passing time / boredom,Sometimes
8/28/2025 23:20:24,26-35,Occasionally,Daily,Watching,1-3 hours,"Short videos (Reels,  YouTube Shorts)",I don’t read at all,Relaxation / stress relief,"Yes, many times"
8/28/2025 23:51:28,36-50,Daily,Occasionally,Enjoy both equally,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/28/2025 23:59:27,36-50,Weekly,Daily,Enjoy both equally,1-3 hours,"Short videos (Reels,  YouTube Shorts)",Non-fiction / educational books,Learning / gaining knowledge,Sometimes
8/29/2025 0:03:06,26-35,Weekly,Weekly,Watching,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",I don’t read at all,Relaxation / stress relief,Sometimes
8/29/2025 0:44:05,18-25,Daily,Daily,Enjoy both equally,1-3 hours,TV episodes (20–40 mins),Non-fiction / educational books,Relaxation / stress relief,Rarely
8/29/2025 8:12:04,36-50,Occasionally,Daily,Enjoy both equally,1-3 hours,Full-length movies (2–3 hrs),Magazines or blogs,Learning / gaining knowledge,Sometimes
8/29/2025 8:36:16,36-50,Daily,Weekly,Enjoy both equally,Less than 1 hour,TV episodes (20–40 mins),Non-fiction / educational books,Learning / gaining knowledge,Sometimes
8/29/2025 9:30:07,26-35,Daily,Occasionally,Enjoy both equally,1-3 hours,Full-length movies (2–3 hrs),Non-fiction / educational books,Learning / gaining knowledge,"Yes, many times"
8/29/2025 10:43:27,36-50,Weekly,Occasionally,Reading,1-3 hours,Books/long reads/stories (several hours),Fiction books,Learning / gaining knowledge,"Yes, many times"
8/29/2025 10:54:55,18-25,Weekly,Daily,Enjoy both equally,1-3 hours,TV episodes (20–40 mins),Fiction books,Relaxation / stress relief,"Yes, many times"
8/29/2025 11:07:46,36-50,Weekly,Occasionally,Enjoy both equally,1-3 hours,TV episodes (20–40 mins),Magazines or blogs,Relaxation / stress relief,"Yes, many times"
8/29/2025 11:24:08,36-50,Weekly,Weekly,Enjoy both equally,1-3 hours,TV episodes (20–40 mins),Magazines or blogs,Learning / gaining knowledge,"Yes, many times"
8/29/2025 11:39:27,36-50,Weekly,Daily,Enjoy both equally,3-5 hours,TV episodes (20–40 mins),Fiction books,Passing time / boredom,Sometimes
8/29/2025 12:11:30,18-25,Occasionally,Daily,Enjoy both equally,Less than 1 hour,Books/long reads/stories (several hours),Magazines or blogs,Passing time / boredom,Rarely
8/29/2025 13:25:14,18-25,Occasionally,Never,Enjoy both equally,3-5 hours,TV episodes (20–40 mins),Non-fiction / educational books,Passing time / boredom,"Yes, many times"
8/29/2025 14:37:46,36-50,Weekly,Occasionally,Enjoy both equally,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",Magazines or blogs,Relaxation / stress relief,Sometimes
8/29/2025 16:43:26,50+,Daily,Occasionally,Enjoy both equally,Less than 1 hour,"Short videos (Reels,  YouTube Shorts)",I don’t read at all,Learning / gaining knowledge,Sometimes
